"postal_code","official_riding_id","official_riding_name","latitude","longitude","city","province"
"A0A0A0",NA,NA,47.05564,-53.201979,"Gander","NL"
"A0A3X1",NA,NA,47.613344,-53.279117,"Cape Broyle","NL"
"A0A3Y0",NA,NA,47.53584,-52.925767,"Conception Bay South","NL"
"A0K3K0",NA,NA,51.425186,-57.039525,"Clair","NL"
"A0K3L0",NA,NA,51.523323,-56.831532,"L'anse Au Loup","NL"
"A0K3P0",NA,NA,52.28721,-55.840099,"Marys Harbour","NL"
"A0K4E0",NA,NA,52.545662,-56.290862,"Port Hope Simpson","NL"
"A0K5V0",NA,NA,52.534848,-55.775284,"Williams Harbour","NL"
"A0K5Y0",NA,NA,52.280329,-55.84477,"Marys Harbour","NL"
"A0P1C0",NA,NA,53.310569,-60.369592,"Happy Valley-goose Bay","NL"
"A1A0A0",NA,NA,NA,NA,NA,NA
"A1A4P9",NA,NA,47.599559,-52.716319,"St. John's","NL"
"A1A5B5",NA,NA,47.611557,-52.722904,"St. John's","NL"
"A1A5G6",NA,NA,47.548214,-52.905984,"St. John's","NL"
"A1A5L9",NA,NA,47.571656,-52.695023,"St. John's","NL"
"A1A5T1",NA,NA,47.591308,-52.689335,"St. John's","NL"
"A1B0J7",NA,NA,47.546176,-52.799417,"St. John's","NL"
"A1B1R9",NA,NA,47.578682,-52.718592,"St. John's","NL"
"A1B1S1",NA,NA,47.583242,-52.71207,"St. John's","NL"
"A1B3N4",NA,NA,47.548552,-52.791282,"St. John's","NL"
"A1B3N7",NA,NA,47.551932,-52.773477,"St. John's","NL"
"A1B3P5",NA,NA,47.562919,-52.746544,"St. John's","NL"
"A1B3P7",NA,NA,47.57085,-52.734828,"St. John's","NL"
"A1B4B8",NA,NA,47.588399,-52.716499,"St. John's","NL"
"A1B4J6",NA,NA,47.580561,-52.725556,"St. John's","NL"
"A1B4J8",NA,NA,47.567283,-52.721967,"St. John's","NL"
"A1B4J9",NA,NA,47.582285,-52.7087,"St. John's","NL"
"A1B4M2",NA,NA,47.613248,-52.687703,"St. John's","NL"
"A1C0B3",NA,NA,NA,NA,NA,NA
"A1C5H5",NA,NA,47.493771,-52.701228,"St. John's","NL"
"A1C5H6",NA,NA,47.572285,-52.699227,"St. John's","NL"
"A1C5J9",NA,NA,47.563623,-52.707314,"St. John's","NL"
"A1C5K4",NA,NA,47.537012,-52.738379,"St. John's","NL"
"A1C5K8",NA,NA,47.559741,-52.712646,"St. John's","NL"
"A1C5L3",NA,NA,47.559505,-52.711431,"St. John's","NL"
"A1C5L4",NA,NA,47.564653,-52.708672,"St. John's","NL"
"A1C5L7",NA,NA,47.55399,-52.73017,"St. John's","NL"
"A1C5N5",NA,NA,47.55343,-52.723978,"St. John's","NL"
"A1C5N8",NA,NA,47.55952,-52.711431,"St. John's","NL"
"A1C5S2",NA,NA,47.559536,-52.711431,"St. John's","NL"
"A1C5V3",NA,NA,47.563534,-52.710925,"St. John's","NL"
"A1C5W1",NA,NA,47.597837,-52.722639,"St. John's","NL"
"A1C5W2",NA,NA,47.567233,-52.70478,"St. John's","NL"
"A1C5W4",NA,NA,47.575529,-52.697829,"St. John's","NL"
"A1C5X3",NA,NA,47.56323,-52.711358,"St. John's","NL"
"A1C5X4",NA,NA,47.476081,-52.776458,"St. John's","NL"
"A1C5X8",NA,NA,47.566185,-52.748596,"St. John's","NL"
"A1C6H6",NA,NA,47.568009,-52.702038,"St. John's","NL"
"A1C6J9",NA,NA,47.568789,-52.717831,"St. John's","NL"
"A1E0A5",NA,NA,47.536747,-52.753002,"St. John's","NL"
"A1E2A5",NA,NA,47.547415,-52.721464,"St. John's","NL"
"A1E2P9",NA,NA,47.557402,-52.71334,"St. John's","NL"
"A1E3Y5",NA,NA,47.563439,-52.710637,"St. John's","NL"
"A1K0B7",NA,NA,47.667704,-52.733881,"Torbay","NL"
"A1K0G6",NA,NA,NA,NA,NA,NA
"A1K1K6",NA,NA,47.669459,-52.730712,"Torbay","NL"
"A1K1K7",NA,NA,47.655533,-52.758938,"Torbay","NL"
"A1K1K8",NA,NA,47.748247,-52.749434,"Torbay","NL"
"A1K1L3",NA,NA,47.635168,-52.726761,"Torbay","NL"
"A1K1L4",NA,NA,47.634705,-52.729575,"Torbay","NL"
"A1K2A9",NA,NA,47.645047,-52.706525,"Middle Cove","NL"
"A1K3G8",NA,NA,47.502881,-52.761602,"Logy Bay","NL"
"A1K4A9",NA,NA,47.64785,-52.684823,"Outer Cove","NL"
