"party_riding_name","riding_name","riding_id"
"Abbotsford Federal NDP Riding Association","Abbotsford",59001
"Abbotsford Federal Liberal Association","Abbotsford",59001
"Abbotsford Conservative Association","Abbotsford",59001
"Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou","Abitibi—Baie-James—Nunavik—Eeyou",24046
"Abitibi--Baie-James--Nunavik--Eeyou Conservative Association","Abitibi—Baie-James—Nunavik—Eeyou",24046
"Association libérale fédérale d'Abitibi--Baie-James--Nunavik--Eeyou","Abitibi—Baie-James—Nunavik—Eeyou",24046
"NDP Abitibi--Baie-James--Nunavik--Eeyou","Abitibi—Baie-James—Nunavik—Eeyou",24046
"Bloc Québécois Abitibi--Témiscamingue","Abitibi—Témiscamingue",24001
"Association libérale fédérale d'Abitibi--Témiscamingue","Abitibi—Témiscamingue",24001
"Association NPD de l'Abitibi--Témiscamingue","Abitibi—Témiscamingue",24001
"Association du Parti conservateur Abitibi--Témiscamingue","Abitibi—Témiscamingue",24001
"Acadie--Bathurst Federal NDP Riding Association","Acadie—Bathurst",13001
"Acadie--Bathurst Conservative Association","Acadie—Bathurst",13001
"Acadie--Bathurst Federal Liberal Association","Acadie—Bathurst",13001
"Association du Parti Vert d'Acadie--Bathurst","Acadie—Bathurst",13001
"Ahuntsic Federal NDP Riding Association","Ahuntsic",24002
"Ahuntsic Federal Liberal Association","Ahuntsic",24002
"Association Parti Vert du Canada Ahuntsic","Ahuntsic",24002
"L'Association du Bloc Québécois d'Ahuntsic","Ahuntsic",24002
"Association du Parti conservateur Ahuntsic","Ahuntsic",24002
"Ajax--Pickering Conservative Association","Ajax—Pickering",35001
"Ajax--Pickering Federal NDP Riding Association","Ajax—Pickering",35001
"Ajax--Pickering Federal Liberal Association","Ajax—Pickering",35001
"Association libérale fédérale d'Alfred-Pellan","Alfred-Pellan",24003
"Alfred-Pellan Federal NDP Riding Association","Alfred-Pellan",24003
"Alfred-Pellan Federal Liberal Association","Alfred-Pellan",24003
"Bloc Québécois Alfred-Pellan","Alfred-Pellan",24003
"Association du Parti conservateur Alfred-Pellan","Alfred-Pellan",24003
"Algoma--Manitoulin--Kapuskasing Federal Liberal Association","Algoma—Manitoulin—Kapuskasing",35002
"Algoma--Manitoulin--Kapuskasing Conservative Association","Algoma—Manitoulin—Kapuskasing",35002
"Algoma--Manitoulin--Kapuskasing Green Party Federal Electoral District Association","Algoma—Manitoulin—Kapuskasing",35002
"Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association","Algoma—Manitoulin—Kapuskasing",35002
"Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association","Ancaster—Dundas—Flamborough—Westdale",35003
"Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association","Ancaster—Dundas—Flamborough—Westdale",35003
"Ancaster--Dundas--Flamborough--Westdale Conservative Association","Ancaster—Dundas—Flamborough—Westdale",35003
"Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association","Ancaster—Dundas—Flamborough—Westdale",35003
"Association libérale fédérale d'Argenteuil--Papineau--Mirabel","Argenteuil—Papineau—Mirabel",24004
"Association du Bloc Québécois d'Argenteuil--Papineau--Mirabel","Argenteuil—Papineau—Mirabel",24004
"NPD Argenteuil--Papineau--Mirabel","Argenteuil—Papineau—Mirabel",24004
"Association du Parti conservateur Argenteuil--Papineau--Mirabel","Argenteuil—Papineau—Mirabel",24004
"Avalon Federal Liberal Association","Avalon",10001
"Avalon Conservative Association","Avalon",10001
"Barrie Federal Liberal Association","Barrie",35004
"Barrie Federal NDP Riding Association","Barrie",35004
"Barrie Federal Green Party Association","Barrie",35004
"Barrie Conservative EDA","Barrie",35004
